"gene_1","gene_2","go_jaccard","kegg_jaccard","combined_functional_jaccard","shared_go_terms","shared_kegg_pathways"
"WFDC1","IDO1",0,0,0,"",""
"WFDC1","CLC",0,,0,"",""
"WFDC1","ZNF608",0,,0,"",""
"WFDC1","TPST1",0,,0,"",""
"WFDC1","CUTALP",0,,0,"",""
"WFDC1","KREMEN1",0,,0,"",""
"WFDC1","LOC102723549",0,,0,"",""
"MMP8","PCOLCE2",0.04,,0.04,"GO:0005576",""
"MMP8","CXCL10",0.046875,0,0.0394736842105263,"GO:0005576;GO:0005615;GO:0071222",""
"MMP8","SAA2",0,,0,"",""
"MMP8","SLPI",0.111111111111111,,0.111111111111111,"GO:0005576;GO:0005615;GO:0035580;GO:0062023",""
"MMP8","CHI3L1",0.0638297872340425,,0.0638297872340425,"GO:0005576;GO:0005615;GO:0035580",""
"MMP8","GSS",0,0,0,"",""
"MMP8","AQP4",0.0263157894736842,0,0.025,"GO:0005576",""
"MMP8","PPP1R1C",0,,0,"",""
"MMP8","IL6R",0.0166666666666667,0,0.0138888888888889,"GO:0005576",""
"MMP8","CLEC4D",0,0,0,"",""
"MMP8","ARG1",0.0769230769230769,0,0.0666666666666667,"GO:0005576;GO:0005615;GO:0035580",""
"MMP8","HP",0.138888888888889,,0.138888888888889,"GO:0004252;GO:0005576;GO:0005615;GO:0035580;GO:1904724",""
"MMP8","MCEMP1",0,,0,"",""
